ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量.1,体積,体積.1,会社名,会社電話番号,会社住所,会社評価,会社概要,メールアドレス,会社URL
B0DJNFWXFS,サイズ: 50x60cm 2枚入 | 色: 第2世代 / グレー,色:第2世代 / グレー | 材質:マイクロファイバー | タオルの形状タイプ:クリーニングクロス | ブランド:SHSCLY | 対象年齢:大人,SHSCLY,SHSCLY シスクレー マイクロファイバー 洗車 タオル 第2世代 超吸水 クリーニング 拭き上げ専用 ドライヤー クロス エッジ広がり効果 平らに保ちやすい 楽々拭き取り(約50×60cm 2枚入),https://www.amazon.co.jp/stores/SHSCLY/page/8F2E9FD9-3652-4074-84F0-0521E1A1A182?lp_asin=B0DJNFWXFS&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0DJNFWXFS,https://m.media-amazon.com/images/I/51FjZzxguRL._AC_US600_.jpg,B0D93SBTSP,車＆バイク:洗車・お手入れ用品:エクステリアケア:洗車用品:洗車用スポンジ・クロス・ブラシ:クロス・タオル:マイクロファイバー,車＆バイク,4,0,0.0,外装カーケア用マイクロファイバー布,1,"8,446",19%,"22,795,754","1,000 ","2,699,000 ",6,"2,699.00",,,,"5,354",97,4.3,1.15%,465.00,68%,,2024-10-07,188 ,FBA,,6.0,1.0,株式会社リドリム,FBA,JP,"会社名：株式会社リドリム
電話番号：+815068836700
オフィス住所：
新川町２－９－１
越谷市
埼玉県
3430852
JP
マネージャー：青山 清奈",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=ABCIK6TLMBBXL,Y,,,,,Y,,Y,Y,洗車 タオルマッハドライヤー,0.38 キログラム,,60長さ x 50幅 cm,,株式会社リドリム,+815068836700,"新川町２－９－１,越谷市,埼玉県,3430852,JP",過去12ヵ月間で100％が肯定的 (評価：378),株式会社リドリムは、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@ridrim.co.jp,https://www.ridrim.co.jp/
B0DJNQDVCS,サイズ: 34x80cm 1枚入 | 色: 第2世代 / グレー,色:第2世代 / グレー | 材質:マイクロファイバー | タオルの形状タイプ:クリーニングクロス | ブランド:SHSCLY | 対象年齢:大人,SHSCLY,SHSCLY シスクレー マイクロファイバー 洗車 タオル 第2世代 超吸水 クロス 厚手 絞れる エッジ広がり効果 平らに保ちやすい 楽々拭き取り (約34x80cm 1枚入),https://www.amazon.co.jp/stores/SHSCLY/page/8F2E9FD9-3652-4074-84F0-0521E1A1A182?lp_asin=B0DJNQDVCS&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0DJNQDVCS,https://m.media-amazon.com/images/I/51n1f2FW8QL._AC_US600_.jpg,B0D93SBTSP,車＆バイク:洗車・お手入れ用品:エクステリアケア:洗車用品:洗車用スポンジ・クロス・ブラシ:クロス・タオル:マイクロファイバー,車＆バイク,4,0,0.0,外装カーケア用マイクロファイバー布,1,"8,446",19%,"13,496,708",200 ,"319,600 ",6,"1,598.00",,,,"5,354",97,4.3,1.15%,465.00,52%,,2024-10-07,188 ,FBA,,6.0,1.0,株式会社リドリム,FBA,JP,"会社名：株式会社リドリム
電話番号：+815068836700
オフィス住所：
新川町２－９－１
越谷市
埼玉県
3430852
JP
マネージャー：青山 清奈",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=ABCIK6TLMBBXL,Y,,,,,,,Y,Y,,0.18 キログラム,,80長さ x 34幅 cm,,株式会社リドリム,+815068836700,"新川町２－９－１,越谷市,埼玉県,3430852,JP",過去12ヵ月間で100％が肯定的 (評価：378),株式会社リドリムは、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,,
B0B4JX7DCG,色: 18 - ﾌﾞﾙｰxｸﾞﾘｰﾝ,商品の寸法:25長さ x 25幅 cm | 色:18 - ﾌﾞﾙｰxｸﾞﾘｰﾝ | タオルの形状タイプ:ハンドタオル | ブランド:imaa | 対象年齢:大人,imaa,imaa(アイマ) 今治タオル 認定 ハンドタオル タオルハンカチ 日本製 綿100% 真空圧縮パック 18 ブルーxグリーン,https://www.amazon.co.jp/stores/imaa%EF%BC%88%E3%82%A2%E3%82%A4%E3%83%9E%EF%BC%89/page/B5289460-0ED5-410B-90A9-C75F3E4CDC38?lp_asin=B0B4JX7DCG&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0B4JX7DCG,https://m.media-amazon.com/images/I/61yLRb1WNfL._AC_US600_.jpg,B0DLFJ6V6M,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:ハンドタオル,ホーム＆キッチン,195,-32,-0.2,ハンドタオル,1,"6,288",68%,"5,546,016",,,30,882.00,,,,"2,351",38,4.4,0.60%,252.00,56%,,2022-06-19,"1,029 ",FBA,,6.0,1.0,imaa(アイマ),FBA,JP,"会社名：株式会社三愛
電話番号：050-8890-1500
オフィス住所：
南高下町1丁目2番42号
今治市
愛媛県
7940811
JP
マネージャー：門田洋",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2GL8AS6TIO8X9,Y,,,,,,,Y,Y,,0.05 キログラム,,25長さ x 25幅 cm,,株式会社三愛,050-8890-1500,"南高下町1丁目2番42号,今治市,愛媛県,7940811,JP",過去12ヵ月間で88％が肯定的 (評価：376),imaa(アイマ)は、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@sannai.co.jp,https://www.sannai.co.jp/
B0DJ8QCX19,色: ピンク | サイズ: 5枚組/バスタオル,色:ピンク | 材質:ポリエステル | タオルの形状タイプ:バスタオル | ブランド:Oseamaid | 対象年齢:大人,Oseamaid,Oseamaid バスタオル 大判 5 枚セット マイクロファイバー タオル 吸水速乾抗菌防臭 (ピンク),https://www.amazon.co.jp/stores/Oseamaid/page/B153C489-7E89-4107-820F-29820CB5FEFD?lp_asin=B0DJ8QCX19&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0DJ8QCX19,https://m.media-amazon.com/images/I/51P73oM1sKL._AC_US600_.jpg,B07GB4BCJJ,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:バスタオル,ホーム＆キッチン,159,58,0.27,バスタオル,5,"4,388",15%,"9,442,976",,,24,"2,152.00",,,8.0,"7,254",41,4.1,0.93%,514.00,61%,,2024-09-29,196 ,FBA,,6.0,1.0,Oseamaid store,FBA,JP,"会社名：Nissho Co., Ltd.
電話番号：+819099410506
オフィス住所：
長田４８４８－５
長田４８４８－５
伊賀市
三重県
5180031
JP
マネージャー：LANYU LI",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AP4TD9BYQM0EQ,,,,,,,,Y,Y,,0.97 キログラム,,120長さ x 60幅 cm,,"Nissho Co., Ltd.",+819099410506,"長田４８４８－５,長田４８４８－５,伊賀市,三重県,5180031,JP",過去12ヵ月間で99％が肯定的 (評価：213),Oseamaid storeは、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@nissho.co.jp,https://www.nissho.co.jp/
B07T6Z7WQR,色: グレー | サイズ: 3枚組/バスタオル,色:グレー | 材質:ポリエステル | タオルの形状タイプ:バスタオル | ブランド:Oseamaid | 対象年齢:大人,Oseamaid,Oseamaid バスタオル 大判 ３枚セット マイクロファイバー タオル 吸水速乾抗菌防臭 (グレー),https://www.amazon.co.jp/stores/Oseamaid/page/B153C489-7E89-4107-820F-29820CB5FEFD?lp_asin=B07T6Z7WQR&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B07T6Z7WQR,https://m.media-amazon.com/images/I/41IiKt8PohL._AC_US600_.jpg,B07GB4BCJJ,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:バスタオル,ホーム＆キッチン,159,58,0.27,バスタオル,5,"4,388",15%,"7,016,412",,,24,"1,599.00",,,8.0,"7,254",41,4.1,0.93%,485.00,55%,,2018-08-06,"2,442 ",FBA,,7.0,1.0,Oseamaid store,FBA,JP,"会社名：Nissho Co., Ltd.
電話番号：+819099410506
オフィス住所：
長田４８４８－５
長田４８４８－５
伊賀市
三重県
5180031
JP
マネージャー：LANYU LI",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AP4TD9BYQM0EQ,,,,,,Y,,Y,Y,バスたおる,0.55 キログラム,,120長さ x 60幅 cm,,"Nissho Co., Ltd.",+819099410506,"長田４８４８－５,長田４８４８－５,伊賀市,三重県,5180031,JP",過去12ヵ月間で99％が肯定的 (評価：213),Oseamaid storeは、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@nissho.co.jp,https://www.nissho.co.jp/
B09MZLS6J1,色: コーヒー色 | サイズ: 5枚組/バスタオル,色:コーヒー色 | 材質:ポリエステル | タオルの形状タイプ:バスタオル | ブランド:Oseamaid | 対象年齢:大人,Oseamaid,Oseamaid バスタオル 大判 5 枚セット マイクロファイバー タオル 吸水速乾抗菌防臭(コーヒー色),https://www.amazon.co.jp/stores/Oseamaid/page/B153C489-7E89-4107-820F-29820CB5FEFD?lp_asin=B09MZLS6J1&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B09MZLS6J1,https://m.media-amazon.com/images/I/51n3DrWq0EL._AC_US600_.jpg,B07GB4BCJJ,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:バスタオル,ホーム＆キッチン,159,58,0.27,バスタオル,5,"4,388",15%,"9,442,976",100 ,"215,200 ",24,"2,152.00",,,8.0,"7,254",41,4.1,0.93%,514.00,61%,,2021-12-02,"1,228 ",FBA,,6.0,1.0,Oseamaid store,FBA,JP,"会社名：Nissho Co., Ltd.
電話番号：+819099410506
オフィス住所：
長田４８４８－５
長田４８４８－５
伊賀市
三重県
5180031
JP
マネージャー：LANYU LI",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AP4TD9BYQM0EQ,,,,,,Y,,Y,Y,バスタオル ブラックフライデー,0.87 キログラム,,120長さ x 60幅 cm,,"Nissho Co., Ltd.",+819099410506,"長田４８４８－５,長田４８４８－５,伊賀市,三重県,5180031,JP",過去12ヵ月間で99％が肯定的 (評価：213),Oseamaid storeは、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@nissho.co.jp,https://www.nissho.co.jp/
B0DTHRVCTH,色: ライトグレー | サイズ: 4枚組/バスタオル,色:ライトグレー | 材質:コットン | タオルの形状タイプ:バスタオル | ブランド:AYO(エイワイオー) | 対象年齢:大人,AYO(エイワイオー),AYO バスタオル 4枚セット ライトグレー ホテル仕様 ふかふか 綿100% 高吸水 耐久性 無地 毛羽落ち少ない ギフト,https://www.amazon.co.jp/stores/AYO/page/2D86FE34-0BA2-4305-859E-674CAC9F193A?lp_asin=B0DTHRVCTH&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0DTHRVCTH,https://m.media-amazon.com/images/I/811GUXEslSL._AC_US600_.jpg,B0DZ1TQLG3,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:フェイスタオル,ホーム＆キッチン,519,76,0.13,フェイスタオル,11,"3,243",33%,"11,671,557",100 ,"359,900 ",17,"3,599.00",,,,133,128,4.7,3.95%,514.00,71%,,2025-02-04,68 ,AMZ,,,2.0,Amazon,AMZ,CN,"会社名：HAERBINHUIDIANKEJIYOUXIANGONGSI
電話番号：+8617713319362
オフィス住所：
JINGKAIQUHAPINGLUJIZHONGQUSONGHUALU9HAO
ZHONGGUOYUNGURUANJIANYUAN10HAOLOU323-1SHI
HAERBIN
150000
CN
マネージャー：HU XIAO ZHE",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1HZIH75BKUXKX,,,,,,,,Y,N,,0.84 キログラム,,120 x 60 x 0.5 cm,120.00 x 60.00 x 0.50 cm,HAERBINHUIDIANKEJIYOUXIANGONGSI,+8617713319362,"JINGKAIQUHAPINGLUJIZHONGQUSONGHUALU9HAO,ZHONGGUOYUNGURUANJIANYUAN10HAOLOU323-1SHI,HAERBIN,150000,CN",過去12ヵ月間で100％が肯定的 (評価：45),AYO 寝具 専門店は、カスタマーに対し、最高水準のカスタマーサービスを提供することをお約束します。,info@haerbinhuidiankejiyouxiangongsi.com,http://www.haerbinhuidiankejiyouxiangongsi.com/
B0CSD5TRDJ,色: ミニオン レイジーデイズ,商品の寸法:30長さ x 30幅 cm | 色:ミニオン レイジーデイズ | 商品の個数:1 | ブランド:丸眞 | 対象年齢:幼児,丸眞,丸眞 おしぼりタオル 3枚組 ミニオン レイジーポップ 入園入学グッズ 入園入学準備 保育園 幼稚園 小学校 女の子 男の子 キャラクター 4805056200,https://www.amazon.co.jp/stores/%E4%B8%B8%E7%9C%9E/page/7256AE9E-A749-43D2-9147-0CB9CE71E0D4?ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0CSD5TRDJ,https://m.media-amazon.com/images/I/414MLaROJiL._AC_US600_.jpg,B0DRTZ5WRV,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:ハンドタオル,ホーム＆キッチン,"1,014",-488,-0.93,ハンドタオル,4,"3,229",100%,"1,433,676",,,19,444.00,,,,69,7,4.4,0.22%,389.00,22%,,2024-01-14,455 ,AMZ,,,3.0,Amazon,AMZ,JP,"会社名：株式会社三和商店
電話番号：0286561721
オフィス住所：
宇都宮市
問屋町３４２６－２１
栃木県
3210911
JP
マネージャー：島田峰守",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2XCBXSED0E98L,,,,,,,,Y,N,,0.08 キログラム,,30長さ x 30幅 cm,,株式会社三和商店,0286561721,"宇都宮市,問屋町３４２６－２１,栃木県,3210911,JP",過去12ヵ月間で87％が肯定的 (評価：45),"当ストアにお立ち寄り頂き、誠に有難うございます。迅速で丁寧な対応を心掛け、厳しい商品管理により　良い品のみを提供することをお約束いたします。お問い合わせも気軽にどうぞ。

問い合わせ先
sanwa1721@iris.ocn.ne.jp

◆事業者の氏名（正式名称）株式会社三和商店
◆住所：栃木県宇都宮市問屋町3426-21
◆電話番号：028-656-1721
◆責任者：島田峰守",sanwa1721@iris.ocn.ne.jp,https://www.sawashoten.co.jp/
B0CM8BY1P2,色: 11 ジュラシックワールド ネイチャーダイナソー,商品の寸法:30長さ x 30幅 cm | 色:11 ジュラシックワールド ネイチャーダイナソー | 材質:コットン | 商品の個数:1 | ブランド:丸眞,丸眞,丸眞 ハンドタオル ハンカチ 3枚セット ジュラシックワールド ネイチャーダイナソー おしぼりセット 入園入学グッズ 入園入学準備 保育園 幼稚園 小学校 男の子 4985006100,https://www.amazon.co.jp/stores/%E4%B8%B8%E7%9C%9E/page/7256AE9E-A749-43D2-9147-0CB9CE71E0D4?ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0CM8BY1P2,https://m.media-amazon.com/images/I/41Qenmtvd8L._AC_US600_.jpg,B0DRTZ5WRV,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:ハンドタオル,ホーム＆キッチン,"1,014",-488,-0.93,ハンドタオル,4,"3,229",100%,"1,420,760",50 ,"22,000 ",19,440.00,,,,69,7,4.4,0.22%,389.00,,,2023-11-29,501 ,AMZ,,,4.0,Amazon,AMZ,JP,"会社名：本田圭商事
電話番号：0942534078
オフィス住所：
羽犬塚５４５－２
筑後市
福岡県
8330003
JP
マネージャー：本田 慎一郎",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AT1RWK7AD0XJM,,,,,,,,Y,N,,0.08 キログラム,,30長さ x 30幅 cm,,本田圭商事,0942534078,"羽犬塚５４５－２,筑後市,福岡県,8330003,JP",過去12ヵ月間で95％が肯定的 (評価：37),"おふとんショップドットコム
〒833-0003　福岡県筑後市羽犬塚545-2
電話番号：0942-53-4078
代表者：　本田慎一郎
営業時間：AM10時～PM17時　日祝：休業日
弊社の販売商品は正規の仕入れルートより商品の仕入れを行い販売をしております。
■配送方法
メール便にはお荷物の規定サイズが御座いますのでご購入枚数によっては配送方法を宅配便へ変更させて頂きます。
配送完了メール内にて、配送番号をお知らせ致しますのでお届けのご確認はそちらをご参照下さい。",,
B0CLGZTLD2,色: 14 スーパーマリオ ファインクルー,商品の寸法:30長さ x 30幅 cm | 色:14 スーパーマリオ ファインクルー | 材質:コットン | ブランド:丸眞 | 対象年齢:子ども,丸眞,丸眞 おしぼりタオル 3枚組 任天堂 マリオ ファインクルー ニンテンドウ スーパーマリオ ゲーム 男の子 おしぼり お手拭き おてふき タオル セット お弁当 おべんとう ケース 入れ物 ランチ ハンドタオル ミニタオル 4505003300,https://www.amazon.co.jp/stores/%E4%B8%B8%E7%9C%9E/page/7256AE9E-A749-43D2-9147-0CB9CE71E0D4?lp_asin=B0CLGZTLD2&ref_=ast_bln&store_ref=bl_ast_dp_brandLogo_sto,https://www.amazon.co.jp/dp/B0CLGZTLD2,https://m.media-amazon.com/images/I/41nrpT894NL._AC_US600_.jpg,B0DRTZ5WRV,ホーム＆キッチン:バス・トイレ・洗面用品:タオル:ハンドタオル,ホーム＆キッチン,"1,014",-488,-0.93,ハンドタオル,4,"3,229",100%,"1,420,760",200 ,"88,000 ",19,440.00,,,,69,7,4.4,0.22%,389.00,26%,,2023-10-19,542 ,AMZ,,,7.0,Amazon,AMZ,JP,"会社名：株式会社アローズワン
電話番号：03-5761-2324
オフィス住所：
東和泉１－２７－９
狛江市
東京都
2010014
JP
マネージャー：白鳥 勝俊",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1Q2CVG0SNTWWR,,,,,,Y,,Y,N,おしぼり 子供,0.08 キログラム,,30長さ x 30幅 cm,,株式会社アローズワン,03-5761-2324,"東和泉１－２７－９,狛江市,東京都,2010014,JP",過去12ヵ月間で95％が肯定的 (評価：98),"当ショップにご来店いただきまして誠にありがとうございます。
【会社概要】
販売業者名：株式会社アローズワン
ショップ名：ARROWS-ONE
所在地：〒201-0014　東京都狛江市東和泉1-27-9
電話番号：03-5761-2324
営業時間：平日9時～17時
定休日：土日祝日(年末年始・夏季休業期間)
・古物商許可取得済
・管理医療機器販売業許可取得済
・適格請求書発行事業者(インボイス登録済)
〈初期不良につきまして〉
商品の初期不良に関しましては、お手数ですが直接メーカーにてご相談下さい。
〈返品・キャンセル・配送等のお問い合わせ〉
アマゾンカスタマーサービスへお問い合わせください。　　amazon.co.jp/contactus
〈すり替え予防につきまして〉
最近は商品の中身を抜いて返品するなど悪質な購入者もいるため当店にある全ての商品につきましては発送前に撮影or番号を控えて管理してます。",info@arrowsone.co.jp,https://www.arrowsone.co.jp/
